#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot,Cases/1M,pop,Deaths/1M,pop,TotalTests,Tests/,1M,pop,Population,Continent,1,Caseevery,X,ppl1,Deathevery,X,ppl1,Testevery,X,ppl,New,Cases/1M,pop,New,Deaths/1M,pop,Active,Cases/1M,pop
57,Nepal,"977,641","11,949","959,817","5,875",100,"32,570",398,"5,455,858","181,761","30,016,592",Asia,"312,5126",196
58,Lithuania,"938,968","8,548","853,276","77,144",71,"353,196","3,215","7,837,392","2,948,063","2,658,489",Europe,33110,"29,018"
59,Belarus,"932,949","6,594","925,111","1,244","98,786",698,"12,564,070","1,330,362","9,444,102",Europe,"101,4321",132
60,Slovenia,"907,630","6,374","876,323","24,933",85,"436,483","3,065","2,581,259","1,241,337","2,079,418",Europe,23261,"11,990"
61,Bolivia,"895,424","21,469","800,110","73,845",220,"74,991","1,798","2,675,341","224,058","11,940,400",South,America,135564,"6,184"
62,UAE,"883,593","2,302","845,470","35,821","87,562",228,"140,796,054","13,952,526","10,091,080",Asia,"114,3840","3,550"
63,Singapore,"868,542","1,099","810,754","56,689",49,"146,525",185,"23,230,460","3,919,018","5,927,623",Asia,"75,3940","9,564"
64,Uruguay,"857,635","7,059","837,662","12,914",93,"245,463","2,020","5,775,849","1,653,099","3,493,953",South,America,44951,"3,696"
65,Ecuador,"841,575","35,309",N/A,N/A,N/A,759,"46,514","1,952","2,470,170","136,527","18,092,891",South,America,215127,"20,029"
66,Costa,Rica,"818,996","8,136","711,766","99,094",104,"158,344","1,573","3,801,529","734,986","5,172,246",North,America,66361,"19,159"
67,Guatemala,"795,808","17,106","745,959","32,743",5,"43,082",926,"4,019,705","217,612","18,471,917",North,America,"231,0805","1,773"
68,Azerbaijan,"789,757","9,547","776,514","3,696","76,730",928,"6,607,460","641,958","10,292,670",Asia,"131,0782",359
69,Panama,"758,312","8,122","747,160","3,030",26,"171,223","1,834","5,563,603","1,256,230","4,428,810",North,America,65451,684
70,Saudi,Arabia,"747,934","9,011","728,723","10,200",383,"20,936",252,"41,112,600","1,150,833","35,724,204",Asia,"483,9651",286
71,Latvia,"712,271","5,369","596,470","110,432",46,"384,768","2,900","6,837,749","3,693,746","1,851,169",Europe,33450,"59,655"
72,Finland,"694,142","2,571","46,000","645,571",51,"124,954",463,"10,032,545","1,805,981","5,555,179",Europe,"82,1611","116,211"
73,Sri,Lanka,"653,029","16,339","618,386","18,304","30,283",758,"6,368,159","295,313","21,564,065",Asia,"331,3203",849
74,Paraguay,"644,609","18,494","616,648","9,467",119,"88,549","2,541","2,547,477","349,944","7,279,669",South,America,113943,"1,300"
75,Kuwait,"624,205","2,548","616,394","5,263",22,"142,623",582,"7,746,084","1,769,879","4,376,619",Asia,"71,7181","1,203"
76,Myanmar,"601,020","19,394","550,882","30,744","10,923",352,"7,294,494","132,573","55,022,471",Asia,"922,8378",559
77,Palestine,"578,943","5,292","567,242","6,409",73,"109,226",998,"3,078,533","580,807","5,300,437",Asia,"91,0022","1,209"
78,Dominican,Republic,"576,129","4,371","570,784",974,30,"52,230",396,"3,152,115","285,761","11,030,611",North,America,"192,5243",88
79,Bahrain,"530,730","1,461","511,434","17,835",11,"294,724",811,"9,469,207","5,258,421","1,800,770",Asia,"31,2330","9,904"
80,Hong,Kong,"525,242","2,578","13,232","509,432",69,"69,119",339,"36,260,319","4,771,635","7,599,140",Asia,"142,9480","67,038"
81,Estonia,"520,407","2,308","412,293","105,806",21,"391,863","1,738","3,149,809","2,371,783","1,328,034",Europe,35750,"79,671"
82,Venezuela,"517,164","5,652","507,834","3,678",230,"18,274",200,"3,359,014","118,691","28,300,594",South,America,"555,0078",130
83,Moldova,"505,996","11,298","485,303","9,395",62,"125,926","2,812","3,066,970","763,267","4,018,213",Europe,83561,"2,338"
84,Libya,"498,839","6,314","478,443","14,082",127,"70,977",898,"2,444,337","347,790","7,028,193",Africa,"141,1133","2,004"
85,Egypt,"492,774","24,244","423,135","45,395",122,"4,668",230,"3,693,367","34,984","105,574,524",Africa,"2144,35529",430
86,Ethiopia,"469,047","7,477","420,437","41,133",64,"3,917",62,"4,544,740","37,954","119,742,244",Africa,"25516,01526",344
87,Mongolia,"466,303",+161,"2,176","313,256","150,871",192,"138,495",646,"4,030,048","1,196,951","3,366,929",Asia,"71,5471",48,"44,810"
88,Armenia,"421,541","8,552","407,082","5,907","141,811","2,877","2,921,750","982,911","2,972,547",Asia,73481,"1,987"
89,Honduras,"414,714","10,812","129,792","274,110",105,"40,782","1,063","1,263,329","124,232","10,169,100",North,America,259418,"26,955"
90,Oman,"385,513","4,249","376,019","5,245",32,"72,403",798,"25,000,000","4,695,224","5,324,560",Asia,"141,2530",985
91,Bosnia,and,Herzegovina,"372,645","15,590","192,218","164,837","114,782","4,802","1,711,182","527,079","3,246,539",Europe,92082,"50,773"
92,Qatar,"358,564",671,"355,957","1,936","127,703",239,"3,387,102","1,206,317","2,807,805",Asia,"84,1851",690
93,Cyprus,"338,517",883,"124,370","213,264",60,"276,991",723,"9,477,138","7,754,658","1,222,122",Asia,"41,3840","174,503"
94,Kenya,"323,115","5,641","317,229",245,1,"5,795",101,"3,412,690","61,204","55,759,229",Africa,"1739,88516",4
95,Zambia,"314,159","3,959","308,784","1,416",4,"16,322",206,"3,295,300","171,204","19,247,766",Africa,"614,8626",74
96,Réunion,"310,181",680,"298,082","11,419",41,"342,347",751,"1,498,366","1,653,745","906,044",Africa,"31,3321","12,603"
97,North,Macedonia,"300,106","9,097","288,761","2,248","144,058","4,367","1,904,444","914,178","2,083,230",Europe,72291,"1,079"
98,New,Zealand,"286,750","+22,495",65,"84,428","+12,817","202,257","57,326",13,"6,821,356","1,363,698","5,002,100",Australia/Oceania,"1776,9551","4,497","40,434"
99,Albania,"272,337","3,483","267,672","1,182",13,"94,808","1,213","1,754,760","610,879","2,872,518",Europe,118252,411
100,Algeria,"265,323","6,858","177,926","80,539",11,"5,873",152,"230,861","5,110","45,180,374",Africa,"1706,588196","1,783"
101,Botswana,"263,950","2,619","259,434","1,897",1,"108,562","1,077","2,026,898","833,658","2,431,329",Africa,99281,780
102,Nigeria,"254,777","3,142","249,209","2,426",11,"1,187",15,"4,519,905","21,051","214,713,307",Africa,"84368,33748",11
103,Zimbabwe,"240,343","5,400","229,664","5,279",12,"15,785",355,"2,113,618","138,814","15,226,225",Africa,"632,8207",347
104,Uzbekistan,"237,045",+51,"1,637","234,285",+88,"1,123",23,"6,914",48,"1,377,915","40,192","34,283,684",Asia,"14520,94325",1,33
105,Montenegro,"231,115","2,689","227,475",951,60,"367,900","4,280","1,181,494","1,880,761","628,200",Europe,32341,"1,514"
106,Mozambique,"225,150","2,197","221,495","1,458",13,"6,880",67,"1,278,902","39,081","32,724,605",Africa,"14514,89526",45
107,Kyrgyzstan,"200,671",+13,"2,969",+1,"195,734",+21,"1,968",131,"29,929",443,"1,907,195","284,447","6,704,915",Asia,"332,2584",2,0.1,294
108,Luxembourg,"188,748",999,"177,378","10,371",5,"293,508","1,553","4,089,468","6,359,220","643,077",Europe,36440,"16,127"
109,Afghanistan,"175,353","7,630","157,867","9,856","1,124","4,340",189,"899,343","22,261","40,399,754",Asia,"2305,29545",244
